season,game,jersey,player,positive_carries,negative_carries,line_breaks,tries_scored,tackle_breaks,offloads,turnovers_given,try_assists,tackles_made,tackles_missed,steals,defensive_rucks,dominant_tackles,turnovers_forced,penalties
2025-2026,Rocky Gorge D1 vs PERC,,Cameron Hoppman,13,2,0,2,6,0,1,0,8,0,0,2,1,1,0
2025-2026,Rocky Gorge D1 vs PERC,,Tristan Cole,3,0,1,0,1,0,1,0,9,0,0,4,2,2,0
2025-2026,Rocky Gorge D1 vs PERC,,Larry Williams,7,0,1,0,4,1,0,0,7,1,0,2,2,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Joshua Brown,15,0,0,1,5,2,0,1,18,1,0,0,1,2,0
2025-2026,Rocky Gorge D1 vs PERC,,James Nutland,5,1,0,0,0,0,1,0,20,1,0,1,3,0,1
2025-2026,Rocky Gorge D1 vs PERC,,Kevin Koch,10,0,2,0,4,0,0,0,15,2,0,1,0,1,2
2025-2026,Rocky Gorge D1 vs PERC,,James Park,3,0,0,0,0,0,0,0,15,0,0,4,2,0,1
2025-2026,Rocky Gorge D1 vs PERC,,Adam Wiley,9,0,1,1,3,0,2,0,17,1,0,2,3,2,0
2025-2026,Rocky Gorge D1 vs PERC,,Brandon Drummond,3,0,0,0,1,0,0,1,6,2,0,0,0,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Jamison Hulbert,5,0,0,0,1,1,0,1,6,0,0,0,0,1,0
2025-2026,Rocky Gorge D1 vs PERC,,Jason Bland,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Keagan O'Connell,14,0,2,1,8,1,3,0,6,1,1,2,0,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Luc Desroches,9,0,0,0,2,1,0,0,7,1,0,2,0,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Donte Speight,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Hunter Shelton,3,0,0,0,0,0,1,1,3,1,0,0,0,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Gabriel Smith,1,0,0,0,0,0,0,0,7,1,0,0,1,0,0
2025-2026,Rocky Gorge D1 vs PERC,,Kristopher Gough,1,0,0,0,0,0,0,0,10,2,0,0,1,0,1
